Latitude,Longitude
41.744388526,-87.665718918
41.866604054,-87.686645691
41.836385231,-87.66571041
41.751056146,-87.618558137
41.721627204,-87.624485177
41.881740601,-87.751134621
41.882917463,-87.66111697
41.758076471,-87.572468341
41.869564997,-87.719633561
41.878229659,-87.626726587
41.678519693,-87.662497935
41.766582474,-87.637179382
41.903775756,-87.639324074
41.702536488,-87.652423302
41.805013233,-87.611353023
41.904479183,-87.668226792
41.894062558,-87.628737463
41.89615728,-87.661859667
41.941972882,-87.787824984
41.748232929,-87.641533277
41.892816145,-87.624193198
41.770970025,-87.581352311
41.772889612,-87.619855489
41.857068843,-87.722946623
41.909068335,-87.651055808
41.984009341,-87.694326742
41.887666267,-87.64282944
41.909743653,-87.662742285
41.752190204,-87.66235443
41.730960457,-87.551279583
41.870304898,-87.660647
41.953443342,-87.744957048
41.879328725,-87.723179151
41.825238761,-87.709787647
41.796836504,-87.593430894
41.673548279,-87.616795523
41.935343389,-87.654609122
41.65690739,-87.605134602
41.990615196,-87.683188577
41.94290004,-87.653062383
42.012651582,-87.673665584
41.76502302,-87.720905754
41.789739484,-87.795149682
41.938902278,-87.741327058
41.926362371,-87.640957119
41.903077492,-87.683673325
41.87997905,-87.745260579
41.896252932,-87.697960747
41.748147601,-87.562178268
41.74403284,-87.543041152
41.80984447,-87.633740034
41.963506156,-87.715659006
41.974861952,-87.890372151
41.799323177,-87.723337222
41.974861952,-87.890372151
41.932755385,-87.647187116
41.774978381,-87.604178168
41.79371832,-87.622440909
41.92182721,-87.672808789
41.746777568,-87.65892587
41.7335097,-87.560576484
41.768549624,-87.585988381
41.954496645,-87.726414811
41.655618376,-87.616178266
41.96764471,-87.676170921
41.764767946,-87.637089033
41.731057684,-87.552663236
41.768549624,-87.585988381
41.909545999,-87.752362567
41.901407829,-87.725044421
41.965108914,-87.678064882
41.788766124,-87.716697594
41.803194418,-87.703832357
41.928757416,-87.725670308
42.019977977,-87.673089367
41.862535079,-87.652123425
41.896671699,-87.628635323
41.739159571,-87.614597339
41.880486258,-87.725665179
41.930459856,-87.643753566
